,AAPL
2018-12-13,40.56079864501953
2018-12-14,39.262939453125
2018-12-17,38.89754104614258
2018-12-18,39.40292739868164
2018-12-19,38.17388916015625
2018-12-20,37.210575103759766
2018-12-21,35.76325607299805
2018-12-24,34.83790969848633
2018-12-26,37.291255950927734
2018-12-27,37.04923629760742
2018-12-28,37.0682258605957
2018-12-31,37.4265022277832
2019-01-02,37.469207763671875
2019-01-03,33.73699951171875
2019-01-04,35.17719650268555
2019-01-07,35.09889602661133
2019-01-08,35.768001556396484
2019-01-09,36.37539291381836
2019-01-10,36.491661071777344
2019-01-11,36.133384704589844
2019-01-14,35.59004592895508
2019-01-15,36.31845474243164
2019-01-16,36.76213836669922
2019-01-17,36.980445861816406
2019-01-18,37.20821762084961
2019-01-22,36.373023986816406
2019-01-23,36.52012634277344
2019-01-24,36.23066329956055
2019-01-25,37.43124008178711
2019-01-28,37.0848388671875
2019-01-29,36.70045852661133
2019-01-30,39.208370208740234
2019-01-31,39.490726470947266
2019-02-01,39.509708404541016
2019-02-04,40.63197708129883
2019-02-05,41.3271598815918
2019-02-06,41.341407775878906
2019-02-07,40.558414459228516
2019-02-08,40.606082916259766
2019-02-11,40.37255859375
2019-02-12,40.72045135498047
2019-02-13,40.551273345947266
2019-02-14,40.699005126953125
2019-02-15,40.608455657958984
2019-02-19,40.72998046875
2019-02-20,40.992095947265625
2019-02-21,40.76095962524414
2019-02-22,41.21607971191406
2019-02-25,41.51632308959961
2019-02-26,41.5401496887207
2019-02-27,41.66883087158203
2019-02-28,41.258975982666016
2019-03-01,41.692657470703125
2019-03-04,41.902339935302734
2019-03-05,41.82609176635742
2019-03-06,41.5854377746582
2019-03-07,41.104087829589844
2019-03-08,41.201786041259766
2019-03-11,42.62910842895508
2019-03-12,43.10806655883789
2019-03-13,43.2986946105957
2019-03-14,43.780029296875
2019-03-15,44.34952163696289
2019-03-18,44.80228805541992
2019-03-19,44.44722366333008
2019-03-20,44.835636138916016
2019-03-21,46.486934661865234
2019-03-22,45.52427673339844
2019-03-25,44.97383117675781
2019-03-26,44.50917053222656
2019-03-27,44.90950012207031
2019-03-28,44.96907043457031
2019-03-29,45.26216506958008
2019-04-01,45.56954574584961
2019-04-02,46.23197937011719
2019-04-03,46.548885345458984
2019-04-04,46.629913330078125
2019-04-05,46.94206619262695
2019-04-08,47.68075180053711
2019-04-09,47.53778076171875
2019-04-10,47.80466079711914
2019-04-11,47.40671920776367
2019-04-12,47.38765335083008
2019-04-15,47.47343826293945
2019-04-16,47.47819519042969
2019-04-17,48.40275192260742
2019-04-18,48.57669448852539
2019-04-22,48.73634338378906
2019-04-23,49.43928527832031
2019-04-24,49.36304473876953
2019-04-25,48.915061950683594
2019-04-26,48.681549072265625
2019-04-29,48.755401611328125
2019-04-30,47.81657028198242
2019-05-01,50.163673400878906
2019-05-02,49.83721923828125
2019-05-03,50.45676803588867
2019-05-06,49.677574157714844
2019-05-07,48.338409423828125
2019-05-08,48.347930908203125
2019-05-09,47.8284912109375
2019-05-10,47.1658935546875
2019-05-13,44.42463302612305
2019-05-14,45.127899169921875
2019-05-15,45.66848373413086
2019-05-16,45.46755599975586
2019-05-17,45.20922088623047
2019-05-20,43.7955207824707
2019-05-21,44.635135650634766
2019-05-22,43.72139358520508
2019-05-23,42.975067138671875
2019-05-24,42.81002426147461
2019-05-28,42.63300323486328
2019-05-29,42.42970275878906
2019-05-30,42.64976501464844
2019-05-31,41.87712478637695
2019-06-03,41.4537467956543
2019-06-04,42.97028350830078
2019-06-05,43.663978576660156
2019-06-06,44.30503463745117
2019-06-07,45.48430633544922
2019-06-10,46.06557846069336
2019-06-11,46.59898376464844
2019-06-12,46.450679779052734
2019-06-13,46.441104888916016
2019-06-14,46.10383987426758
2019-06-17,46.37891387939453
2019-06-18,47.46967315673828
2019-06-19,47.330936431884766
2019-06-20,47.711280822753906
2019-06-21,47.548606872558594
2019-06-24,47.50078201293945
2019-06-25,46.78078079223633
2019-06-26,47.7926025390625
2019-06-27,47.77825164794922
2019-06-28,47.342899322509766
2019-07-01,48.21120834350586
2019-07-02,48.49346923828125
2019-07-03,48.89532470703125
2019-07-05,48.85227584838867
2019-07-08,47.84523010253906
2019-07-09,48.13706588745117
2019-07-10,48.61307144165039
2019-07-11,48.25905227661133
2019-07-12,48.62980270385742
2019-07-15,49.08668899536133
2019-07-16,48.916866302490234
2019-07-17,48.64176940917969
2019-07-18,49.1943244934082
2019-07-19,48.459983825683594
2019-07-22,49.56747817993164
2019-07-23,49.95499038696289
2019-07-24,49.91432571411133
2019-07-25,49.51964569091797
2019-07-26,49.69186782836914
2019-07-29,50.15592956542969
2019-07-30,49.940643310546875
2019-07-31,50.95964050292969
2019-08-01,49.856910705566406
2019-08-02,48.80204391479492
2019-08-05,46.24735641479492
2019-08-06,47.12284469604492
2019-08-07,47.610809326171875
2019-08-08,48.660911560058594
2019-08-09,48.259925842285156
2019-08-12,48.13747787475586
2019-08-13,50.17601013183594
2019-08-14,48.68251419067383
2019-08-15,48.44001007080078
2019-08-16,49.58293151855469
2019-08-19,50.507347106933594
2019-08-20,50.509765625
2019-08-21,51.05722427368164
2019-08-22,51.01399230957031
2019-08-23,48.656097412109375
2019-08-26,49.58053207397461
2019-08-27,49.02107620239258
2019-08-28,49.35002517700195
2019-08-29,50.18561553955078
2019-08-30,50.120784759521484
2019-09-03,49.390846252441406
2019-09-04,50.22882843017578
2019-09-05,51.21087646484375
2019-09-06,51.20608901977539
2019-09-09,51.424583435058594
2019-09-10,52.03207015991211
2019-09-11,53.686431884765625
2019-09-12,53.56637954711914
2019-09-13,52.524288177490234
2019-09-16,52.8004150390625
2019-09-17,52.99250793457031
2019-09-18,53.48954391479492
2019-09-19,53.0549430847168
2019-09-20,52.27937698364258
2019-09-23,52.51708984375
2019-09-24,52.267372131347656
2019-09-25,53.071754455566406
2019-09-26,52.79802703857422
2019-09-27,52.54111099243164
2019-09-30,53.777679443359375
2019-10-01,53.92654800415039
2019-10-02,52.5747184753418
2019-10-03,53.02132797241211
2019-10-04,54.50761032104492
2019-10-07,54.51961135864258
2019-10-08,53.88092041015625
2019-10-09,54.51241683959961
2019-10-10,55.247161865234375
2019-10-11,56.716636657714844
2019-10-14,56.6349983215332
2019-10-15,56.502933502197266
2019-10-16,56.27482986450195
2019-10-17,56.493324279785156
2019-10-18,56.764652252197266
2019-10-21,57.749122619628906
2019-10-22,57.61705017089844
2019-10-23,58.390201568603516
2019-10-24,58.48624801635742
2019-10-25,59.206581115722656
2019-10-28,59.799659729003906
2019-10-29,58.416622161865234
2019-10-30,58.40943145751953
2019-10-31,59.73003387451172
2019-11-01,61.42521667480469
2019-11-04,61.8286018371582
2019-11-05,61.73976135253906
2019-11-06,61.766170501708984
2019-11-07,62.47901916503906
2019-11-08,62.6500129699707
2019-11-11,63.14615249633789
2019-11-12,63.08833312988281
2019-11-13,63.692806243896484
2019-11-14,63.25211715698242
2019-11-15,64.0035171508789
2019-11-18,64.32620239257812
2019-11-19,64.13114929199219
2019-11-20,63.38456726074219
2019-11-21,63.10037612915039
2019-11-22,63.04496765136719
2019-11-25,64.15039825439453
2019-11-26,63.64948654174805
2019-11-27,64.50442504882812
2019-11-29,64.36235046386719
2019-12-02,63.61817932128906
2019-12-03,62.483856201171875
2019-12-04,63.03534698486328
2019-12-05,63.96015167236328
2019-12-06,65.19562530517578
2019-12-09,64.2828598022461
2019-12-10,64.65856170654297
2019-12-11,65.21006774902344
2019-12-12,65.3762435913086
2019-12-13,66.2649154663086
2019-12-16,67.39923095703125
2019-12-17,67.53169250488281
2019-12-18,67.3703384399414
2019-12-19,67.437744140625
2019-12-20,67.29808044433594
2019-12-23,68.39627838134766
2019-12-24,68.46128845214844
2019-12-26,69.8196029663086
2019-12-27,69.79308319091797
2019-12-30,70.20731353759766
2019-12-31,70.7203140258789
2020-01-02,72.3338851928711
2020-01-03,71.6306381225586
2020-01-06,72.20138549804688
2020-01-07,71.8618392944336
2020-01-08,73.017822265625
2020-01-09,74.56878662109375
2020-01-10,74.73735809326172
2020-01-13,76.3340835571289
2020-01-14,75.30335235595703
2020-01-15,74.98062133789062
2020-01-16,75.91984558105469
2020-01-17,76.7603759765625
2020-01-21,76.24018859863281
2020-01-22,76.5123062133789
2020-01-23,76.88079071044922
2020-01-24,76.6592025756836
2020-01-27,74.40502166748047
2020-01-28,76.50991821289062
2020-01-29,78.1114273071289
2020-01-30,77.99824523925781
2020-01-31,74.53990936279297
2020-02-03,74.3351821899414
2020-02-04,76.7892837524414
2020-02-05,77.41541290283203
2020-02-06,78.32096099853516
2020-02-07,77.25634765625
2020-02-10,77.623291015625
2020-02-11,77.15499114990234
2020-02-12,78.98723602294922
2020-02-13,78.42476654052734
2020-02-14,78.44406127929688
2020-02-18,77.00769805908203
2020-02-19,78.12299346923828
2020-02-20,77.32152557373047
2020-02-21,75.57136535644531
2020-02-24,71.981689453125
2020-02-25,69.54351806640625
2020-02-26,70.64672088623047
2020-02-27,66.02867889404297
2020-02-28,65.99005126953125
2020-03-02,72.13379669189453
2020-03-03,69.84286499023438
2020-03-04,73.08250427246094
2020-03-05,70.71192169189453
2020-03-06,69.77283477783203
2020-03-09,64.2543716430664
2020-03-10,68.88206481933594
2020-03-11,66.48977661132812
2020-03-12,59.92359161376953
2020-03-13,67.10292053222656
2020-03-16,58.47035217285156
2020-03-17,61.04129409790039
2020-03-18,59.5469970703125
2020-03-19,59.09075164794922
2020-03-20,55.33934020996094
2020-03-23,54.163700103759766
2020-03-24,59.59769821166992
2020-03-25,59.26939010620117
2020-03-26,62.38832092285156
2020-03-27,59.8052978515625
2020-03-30,61.51203155517578
2020-03-31,61.38650131225586
2020-04-01,58.15652084350586
2020-04-02,59.12696075439453
2020-04-03,58.2772216796875
2020-04-06,63.361167907714844
2020-04-07,62.627296447753906
2020-04-08,64.23023223876953
2020-04-09,64.6937484741211
2020-04-13,65.96350860595703
2020-04-14,69.29486846923828
2020-04-15,68.66238403320312
2020-04-16,69.20796966552734
2020-04-17,68.2688980102539
2020-04-20,66.85186004638672
2020-04-21,64.78545379638672
2020-04-22,66.65152740478516
2020-04-23,66.39321899414062
2020-04-24,68.30996704101562
2020-04-27,68.3582534790039
2020-04-28,67.25016021728516
2020-04-29,69.45904541015625
2020-04-30,70.9243392944336
2020-05-01,69.78250885009766
2020-05-04,70.76986694335938
2020-05-05,71.83203887939453
2020-05-06,72.57312774658203
2020-05-07,73.32389068603516
2020-05-08,75.06912231445312
2020-05-11,76.25038146972656
2020-05-12,75.37895965576172
2020-05-13,74.46882629394531
2020-05-14,74.92631530761719
2020-05-15,74.48336029052734
2020-05-18,76.23827362060547
2020-05-19,75.7977066040039
2020-05-20,77.27186584472656
2020-05-21,76.69574737548828
2020-05-22,77.18955993652344
2020-05-26,76.66669464111328
2020-05-27,77.000732421875
2020-05-28,77.0346450805664
2020-05-29,76.95958709716797
2020-06-01,77.90605163574219
2020-06-02,78.26670837402344
2020-06-03,78.69757843017578
2020-06-04,78.0197982788086
2020-06-05,80.24189758300781
2020-06-08,80.71632385253906
2020-06-09,83.26516723632812
2020-06-10,85.40738677978516
2020-06-11,81.30694580078125
2020-06-12,82.00890350341797
2020-06-15,83.02311706542969
2020-06-16,85.2234115600586
2020-06-17,85.10481262207031
2020-06-18,85.13870239257812
2020-06-19,84.65216827392578
2020-06-22,86.86701202392578
2020-06-23,88.72112274169922
2020-06-24,87.15504455566406
2020-06-25,88.31206512451172
2020-06-26,85.59861755371094
2020-06-29,87.57138061523438
2020-06-30,88.3023910522461
2020-07-01,88.13536834716797
2020-07-02,88.13536834716797
2020-07-06,90.49301147460938
2020-07-07,90.21221160888672
2020-07-08,92.3132553100586
2020-07-09,92.71025848388672
2020-07-10,92.87242889404297
2020-07-13,92.44396209716797
2020-07-14,93.97377014160156
2020-07-15,94.6200942993164
2020-07-16,93.45578002929688
2020-07-17,93.26698303222656
2020-07-20,95.23247528076172
2020-07-21,93.91807556152344
2020-07-22,94.18196105957031
2020-07-23,89.8951187133789
2020-07-24,89.67242431640625
2020-07-27,91.7977066040039
2020-07-28,90.28968811035156
2020-07-29,92.02037811279297
2020-07-30,93.13385009765625
2020-07-31,102.8838882446289
2020-08-03,105.47633361816406
2020-08-04,106.18070220947266
2020-08-05,106.56558227539062
2020-08-06,110.28355407714844
2020-08-07,107.77619934082031
2020-08-10,109.34269714355469
2020-08-11,106.09083557128906
2020-08-12,109.61673736572266
2020-08-13,111.55667114257812
2020-08-14,111.4572525024414
2020-08-17,111.166259765625
2020-08-18,112.09257507324219
2020-08-19,112.23323822021484
2020-08-20,114.72364807128906
2020-08-21,120.6356201171875
2020-08-24,122.07846069335938
2020-08-25,121.07698822021484
2020-08-26,122.72349548339844
2020-08-27,121.25640106201172
2020-08-28,121.05999755859375
2020-08-31,125.1653823852539
2020-09-01,130.15106201171875
2020-09-02,127.45454406738281
2020-09-03,117.25041961669922
2020-09-04,117.32801818847656
2020-09-08,109.43240356445312
2020-09-09,113.79733276367188
2020-09-10,110.08228302001953
2020-09-11,108.63703155517578
2020-09-14,111.89615631103516
2020-09-15,112.07075500488281
2020-09-16,108.76313781738281
2020-09-17,107.02690124511719
2020-09-18,103.63198852539062
2020-09-21,106.77468872070312
2020-09-22,108.45275115966797
2020-09-23,103.90357971191406
2020-09-24,104.9705581665039
2020-09-25,108.90864562988281
2020-09-28,111.50817108154297
2020-09-29,110.664306640625
2020-09-30,112.3326416015625
2020-10-01,113.2832260131836
2020-10-02,109.62641143798828
2020-10-05,113.0019302368164
2020-10-06,109.76223754882812
2020-10-07,111.62454986572266
2020-10-08,111.51786804199219
2020-10-09,113.45782470703125
2020-10-12,120.66472625732422
2020-10-13,117.46382141113281
2020-10-14,117.55110168457031
2020-10-15,117.08551788330078
2020-10-16,115.44625091552734
2020-10-19,112.49755096435547
2020-10-20,113.98161315917969
2020-10-21,113.36080169677734
2020-10-22,112.27445220947266
2020-10-23,111.58575439453125
2020-10-26,111.59546661376953
2020-10-27,113.09891510009766
2020-10-28,107.86107635498047
2020-10-29,111.85735321044922
2020-10-30,105.5913314819336
2020-11-02,105.50403594970703
2020-11-03,107.12389373779297
2020-11-04,111.49845886230469
2020-11-05,115.45596313476562
2020-11-06,115.32478332519531
2020-11-09,113.02198791503906
2020-11-10,112.68191528320312
2020-11-11,116.10208129882812
2020-11-12,115.83004760742188
2020-11-13,115.87863159179688
2020-11-16,116.8891372680664
2020-11-17,116.00494384765625
2020-11-18,114.68350982666016
2020-11-19,115.2762222290039
2020-11-20,114.01306915283203
2020-11-23,110.62201690673828
2020-11-24,111.90460205078125
2020-11-25,112.7402114868164
2020-11-27,113.28433227539062
2020-11-30,115.67459106445312
2020-12-01,119.24055480957031
